iter	Logloss
0	0.624280782
1	0.5679581023
2	0.494956026
3	0.4345977639
4	0.3745538536
5	0.3331598762
6	0.2850628519
7	0.2548005027
8	0.2249702455
9	0.1993418997
10	0.1754586347
11	0.1590183984
12	0.1428383346
13	0.1257051721
14	0.1082094435
15	0.09928749938
16	0.08867074921
17	0.07913794975
18	0.0729362979
19	0.06443479108
20	0.05771650884
21	0.05208744578
22	0.04686247107
23	0.04251689259
24	0.03875962309
25	0.03496063244
26	0.03221631937
27	0.02913394544
28	0.02644311691
29	0.02398894554
30	0.02143086678
31	0.01965289533
32	0.01815919913
33	0.01690583344
34	0.01549165183
35	0.01419380166
36	0.01284665722
37	0.01163718624
38	0.01082888398
39	0.01021496949
40	0.009430611088
41	0.008709501369
42	0.007982676731
43	0.007405539429
44	0.006863572005
45	0.006343010903
46	0.005894007784
47	0.005514408293
48	0.005082163531
49	0.004668048652
50	0.004354359894
51	0.004032825718
52	0.003753705328
53	0.003476594375
54	0.00324712782
55	0.003040840291
56	0.002837867591
57	0.00264957125
58	0.00246606471
59	0.002314145595
60	0.002182933997
61	0.002058101356
62	0.001936645442
63	0.001808895277
64	0.001720123644
65	0.001628271379
66	0.001533414949
67	0.001453588215
68	0.001375785791
69	0.001312517837
70	0.00124648486
71	0.001195063337
72	0.001137681253
73	0.001089924413
74	0.001043194037
75	0.000997884614
76	0.0009548665095
77	0.0009166286791
78	0.0008825538826
79	0.0008498665984
80	0.0008178304573
81	0.0007861085555
82	0.0007567910886
83	0.0007303934439
84	0.0007055536147
85	0.0006820277823
86	0.0006599467975
87	0.0006415819986
88	0.0006219680696
89	0.0006030025164
90	0.0005817535992
91	0.0005654335987
92	0.0005506574649
93	0.0005339007894
94	0.0005193033368
95	0.0005041190126
96	0.0004901653347
97	0.0004807092048
98	0.0004685270504
99	0.0004577693041
100	0.0004473632586
101	0.0004365342529
102	0.0004252122576
103	0.0004164360181
104	0.0004057847422
105	0.0003963034866
106	0.0003878083712
107	0.0003791807102
108	0.0003713430355
109	0.0003624272645
110	0.0003550774127
111	0.0003480383192
112	0.0003412191572
113	0.0003346838435
114	0.0003285117336
115	0.0003225135927
116	0.0003163729432
117	0.0003112895106
118	0.0003056979495
119	0.0003002779788
120	0.0002954367393
121	0.0002907004816
122	0.0002867679001
123	0.0002825104455
124	0.0002786494261
125	0.0002738349933
126	0.0002704444825
127	0.0002660486743
128	0.000261698121
129	0.000257572898
130	0.0002538855242
131	0.0002506339256
132	0.0002467453845
133	0.0002431867503
134	0.0002397711761
135	0.0002364575653
136	0.0002337986254
137	0.0002303298515
138	0.0002273279119
139	0.0002239158654
140	0.0002210553866
141	0.0002181149609
142	0.0002159842397
143	0.0002125531043
144	0.0002107976855
145	0.0002084770673
146	0.0002063969877
147	0.0002043892102
148	0.0002017705892
149	0.0001994970549
150	0.0001972272138
151	0.0001953087331
152	0.0001931449413
153	0.0001904776204
154	0.0001884286458
155	0.0001863447649
156	0.0001846489399
157	0.0001828508586
158	0.0001814206979
159	0.0001799580049
160	0.0001785124876
161	0.0001769006177
162	0.0001749293665
163	0.0001734240186
164	0.0001719802395
165	0.0001708116752
166	0.0001688198953
167	0.0001674577362
168	0.0001661212052
169	0.0001643742273
170	0.0001631078354
171	0.0001617367946
172	0.0001608776657
173	0.0001596267132
174	0.0001584380741
175	0.0001572288999
176	0.0001558668417
177	0.0001544437087
178	0.0001530481803
179	0.0001519277654
180	0.0001505266775
181	0.0001494848323
182	0.0001484409086
183	0.0001474060787
184	0.0001461825352
185	0.0001447891491
186	0.0001437778817
187	0.0001426248815
188	0.0001416982337
189	0.0001407126585
190	0.0001397068017
191	0.000138722424
192	0.0001377648233
193	0.0001368163974
194	0.0001359522098
195	0.0001349972178
196	0.000134114059
197	0.0001332364878
198	0.0001322305677
199	0.0001310978563
200	0.0001302719272
201	0.0001294055026
202	0.0001287929497
203	0.0001279140258
204	0.0001271217469
205	0.0001263587896
206	0.0001254010333
207	0.0001248074562
208	0.0001240216182
209	0.0001230648428
210	0.0001221846914
211	0.0001212530647
212	0.0001205466069
213	0.0001198490027
214	0.0001190168339
215	0.0001190166367
216	0.0001187831896
217	0.0001187819206
218	0.0001179621395
219	0.0001172862791
220	0.0001164211482
221	0.000116406336
222	0.0001164004024
223	0.0001160160971
224	0.0001160137417
225	0.0001153489971
226	0.0001153479217
227	0.0001153479217
228	0.0001147560529
229	0.000114755554
230	0.0001147539654
231	0.0001147530885
232	0.0001147521529
233	0.0001141739731
234	0.0001141751445
235	0.0001141634062
236	0.0001133357676
237	0.0001133349116
238	0.0001129937088
239	0.0001124086949
240	0.0001124057468
241	0.0001120692348
242	0.0001119416175
243	0.0001111969465
244	0.0001111909109
245	0.0001111911854
246	0.0001111870723
247	0.000110467186
248	0.0001098595635
249	0.0001098598094
250	0.0001098573656
251	0.0001091241566
252	0.0001083521125
253	0.0001076341827
254	0.0001070919147
255	0.000107092481
256	0.0001070944475
257	0.0001067591644
258	0.0001067476274
259	0.0001067419088
260	0.0001067399896
261	0.0001067422742
262	0.0001067271146
263	0.000106726376
